Codigo,,,,,,,,,,,,Precio Referencial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTROL,
OG,OE,OP,AC,Codigo control,Proyecto,Grupo,Partida,Código Actividad Sistema,Detalle de actividad,Cant. ,Costo Unit., (Costo Total  Bs.) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,VIATICOS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"457,12","457,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"457,12",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,ALQUILER VEHICULOS,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"18.107,89","18.107,89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.107,89",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,"PAGO PONTOS, PEAJES, ETC.",A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"19.964,90","19.964,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.964,90",
1,2,3,2,1232,RAINFOREST,GESTIÓN_DE_ÁREAS_PROTEGIDAS_RF,GUIAS LOCALES,A2.5 / 4 / 4.1,Realización de campañas de patrullaje para el control territorial,1,"20.018,61","20.018,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.018,61",
1,2,3,2,1232,RAINFOREST,VIAJES_RF,PASAJES AÉREOS NACIONALES,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5.213,63","5.213,63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.213,63",
1,2,3,2,1232,RAINFOREST,VIAJES_RF,PASAJES TERRESTRES NACIONALES,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"3.856,48","3.856,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.856,48",
1,2,3,2,1232,RAINFOREST,VIAJES_RF,COMBUSTIBLE,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5.213,64","5.213,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.213,64",
1,2,3,2,1232,RAINFOREST,VIAJES_RF,ALQUILER VEHÍCULOS,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"5.213,64","5.213,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.213,64",
1,2,3,2,1232,RAINFOREST,VIAJES_RF,"PAGO PONTÓN, PEAJES, ETC",A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"4.441,32","4.441,32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.441,32",
1,2,3,2,1232,RAINFOREST,VIAJES_RF,VIÁTICOS,A2.5 / 7 / 7.5,Apoyar a la realización de campañas de patrullaje para el control territorial,1,"3.429,12","3.429,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.429,12",
